"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"0","2.0017","2.0017","2.0017","","",""
"1","1.6218","1.6218","1.6218","","",""
"2","1.6094","1.6094","1.6094","","",""
"3","1.9611","1.9611","1.9611","","",""
"4","2.1795","2.1795","2.1795","","",""
"5","2.2477","2.2477","2.2477","","",""
"6","2.3357","2.3357","2.3357","","",""
"7","1.3816","1.3816","1.3816","","",""
"8","1.6834","1.6834","1.6834","","",""
"9","2.2503","2.2503","2.2503","","",""
"10","1.6319","1.6319","1.6319","","",""
"11","2.1027","2.1027","2.1027","","",""
"12","1.2962","1.2962","1.2962","","",""
"13","2.5683","2.5683","2.5683","","",""
"14","1.8731","1.8731","1.8731","","",""
"15","2.1844","2.1844","2.1844","","",""
"16","1.8754","1.8754","1.8754","","",""
"17","1.375","1.375","1.375","","",""
"18","2.0534","2.0534","2.0534","","",""
"19","2.3257","2.3257","2.3257","","",""
"20","1.931","1.931","1.931","","",""
"21","1.8464","1.8464","1.8464","","",""
"22","1.5419","1.5419","1.5419","","",""
"23","1.8733","1.8733","1.8733","","",""
"24","1.7018","1.7018","1.7018","","",""
"25","2.1395","2.1395","2.1395","","",""
"26","2.3041","2.3041","2.3041","","",""
"27","1.7305","1.7305","1.7305","","",""
"28","1.3947","1.3947","1.3947","","",""
"29","2.2278","2.2278","2.2278","","",""
"30","1.4773","1.4773","1.4773","","",""
"31","1.8521","1.8521","1.8521","","",""
"32","2.086","2.086","2.086","","",""
"33","1.1021","1.1021","1.1021","","",""
"34","2.0067","2.0067","2.0067","","",""
"35","2.1969","2.1969","2.1969","","",""
"36","1.8823","1.8823","1.8823","","",""
"37","1.9534","1.9534","1.9534","","",""
"38","1.9708","1.9708","1.9708","","",""
"39","1.8235","1.8235","1.8235","","",""
"40","1.4559","1.4559","1.4559","","",""
"41","1.9111","1.9111","1.9111","","",""
"42","1.8374","1.8374","1.8374","","",""
"43","1.0042","1.0042","1.0042","","",""
"44","2.1872","2.1872","2.1872","","",""
"45","1.3567","1.3567","1.3567","","",""
"46","1.876","1.876","1.876","","",""
"47","1.9809","1.9809","1.9809","","",""
"48","1.5922","1.5922","1.5922","","",""
"49","1.7056","1.7056","1.7056","","",""
"50","1.8927","1.8927","1.8927","","",""
"51","1.6636","1.6636","1.6636","","",""
"52","1.3013","1.3013","1.3013","","",""
"53","1.9761","1.9761","1.9761","","",""
"54","1.1797","1.1797","1.1797","","",""
"55","2.161","2.161","2.161","","",""
"56","1.7434","1.7434","1.7434","","",""
"57","1.9146","1.9146","1.9146","","",""
"58","1.1069","1.1069","1.1069","","",""
"59","1.946","1.946","1.946","","",""
"60","2.2318","2.2318","2.2318","","",""
"61","1.6636","1.6636","1.6636","","",""
"62","1.6613","1.6613","1.6613","","",""
"63","1.1834","1.1834","1.1834","","",""
"64","0.888","0.888","0.888","","",""
"65","1.508","1.508","1.508","","",""
"66","1.1777","1.1777","1.1777","","",""
"67","1.6411","1.6411","1.6411","","",""
"68","1.9151","1.9151","1.9151","","",""
"69","1.8085","1.8085","1.8085","","",""
"70","1.0967","1.0967","1.0967","","",""
"71","0.817","0.817","0.817","","",""
"72","1.8746","1.8746","1.8746","","",""
"73","1.972","1.972","1.972","","",""
"74","1.3383","1.3383","1.3383","","",""
"75","0.8798","0.8798","0.8798","","",""
"76","1.2544","1.2544","1.2544","","",""
"77","2.0942","2.0942","2.0942","","",""
"78","1.6537","1.6537","1.6537","","",""
"79","1.8762","1.8762","1.8762","","",""
"80","1.6943","1.6943","1.6943","","",""
"81","1.5903","1.5903","1.5903","","",""
