"Step","train/loss","golden-deluge-21 - train/loss__MIN","golden-deluge-21 - train/loss__MAX","eval/loss","golden-deluge-21 - eval/loss__MIN","golden-deluge-21 - eval/loss__MAX"
"0","","","","1.0446947813034058","1.0446947813034058","1.0446947813034058"
"1","1.0375","1.0375","1.0375","","",""
"2","0.9911","0.9911","0.9911","","",""
"3","0.7173","0.7173","0.7173","","",""
"4","0.6064","0.6064","0.6064","","",""
"5","1.0194","1.0194","1.0194","","",""
"6","0.5333","0.5333","0.5333","","",""
"7","0.8197","0.8197","0.8197","","",""
"8","1.1872","1.1872","1.1872","","",""
"9","1.0902","1.0902","1.0902","","",""
"10","1.0243","1.0243","1.0243","","",""
"11","0.7146","0.7146","0.7146","","",""
"12","0.7367","0.7367","0.7367","","",""
"13","0.8637","0.8637","0.8637","","",""
"14","1.1725","1.1725","1.1725","","",""
"15","1.0039","1.0039","1.0039","","",""
"16","0.7095","0.7095","0.7095","","",""
"17","1.3136","1.3136","1.3136","","",""
"18","1.2336","1.2336","1.2336","","",""
"19","0.9269","0.9269","0.9269","","",""
"20","0.9909","0.9909","0.9909","","",""
"21","1.1079","1.1079","1.1079","","",""
"22","0.9968","0.9968","0.9968","","",""
"23","0.6022","0.6022","0.6022","","",""
"24","1.2195","1.2195","1.2195","","",""
"25","0.9035","0.9035","0.9035","","",""
"26","0.7053","0.7053","0.7053","","",""
"27","0.6218","0.6218","0.6218","","",""
"28","1.0928","1.0928","1.0928","","",""
"29","0.7949","0.7949","0.7949","","",""
"30","0.636","0.636","0.636","","",""
"31","1.1421","1.1421","1.1421","","",""
"32","0.8304","0.8304","0.8304","","",""
"33","0.7739","0.7739","0.7739","","",""
"34","0.6858","0.6858","0.6858","","",""
"35","1.2888","1.2888","1.2888","","",""
"36","0.7655","0.7655","0.7655","","",""
"37","0.6194","0.6194","0.6194","","",""
"38","0.9998","0.9998","0.9998","","",""
"39","1.1626","1.1626","1.1626","","",""
"40","0.5884","0.5884","0.5884","","",""
"41","0.9443","0.9443","0.9443","","",""
"42","1.4966","1.4966","1.4966","","",""
"43","0.5848","0.5848","0.5848","","",""
