"Step","train/loss","fresh-mountain-14 - train/loss__MIN","fresh-mountain-14 - train/loss__MAX","eval/loss","fresh-mountain-14 - eval/loss__MIN","fresh-mountain-14 - eval/loss__MAX"
"0","","","","3.85664439201355","3.85664439201355","3.85664439201355"
"1","1.993","1.993","1.993","","",""
"2","1.8291","1.8291","1.8291","","",""
"3","1.8472","1.8472","1.8472","","",""
"4","2.1056","2.1056","2.1056","","",""
"5","2.0822","2.0822","2.0822","","",""
"6","1.4832","1.4832","1.4832","","",""
"7","2.1721","2.1721","2.1721","","",""
"8","2.5871","2.5871","2.5871","","",""
"9","2.7107","2.7107","2.7107","","",""
"10","2.4884","2.4884","2.4884","","",""
"11","2.3152","2.3152","2.3152","","",""
"12","1.8034","1.8034","1.8034","","",""
"13","1.976","1.976","1.976","","",""
"14","2.8956","2.8956","2.8956","","",""
"15","2.8276","2.8276","2.8276","","",""
"16","3.108","3.108","3.108","","",""
"17","2.545","2.545","2.545","","",""
"18","3.4964","3.4964","3.4964","","",""
"19","3.0522","3.0522","3.0522","","",""
"20","2.6472","2.6472","2.6472","","",""
"21","2.7253","2.7253","2.7253","","",""
"22","2.8694","2.8694","2.8694","","",""
"23","2.6054","2.6054","2.6054","","",""
"24","2.8703","2.8703","2.8703","","",""
"25","2.3239","2.3239","2.3239","","",""
"26","2.8332","2.8332","2.8332","","",""
"27","2.8361","2.8361","2.8361","","",""
"28","2.6161","2.6161","2.6161","","",""
"29","2.7823","2.7823","2.7823","","",""
"30","2.1273","2.1273","2.1273","","",""
"31","2.6191","2.6191","2.6191","","",""
"32","3.4649","3.4649","3.4649","","",""
"33","2.2297","2.2297","2.2297","","",""
"34","2.5976","2.5976","2.5976","","",""
"35","3.1595","3.1595","3.1595","","",""
"36","2.7561","2.7561","2.7561","","",""
"37","3.215","3.215","3.215","","",""
"38","2.9459","2.9459","2.9459","","",""
"39","2.7944","2.7944","2.7944","","",""
"40","1.7248","1.7248","1.7248","","",""
"41","3.1506","3.1506","3.1506","","",""
"42","3.285","3.285","3.285","","",""
"43","2.5191","2.5191","2.5191","","",""
"44","2.3251","2.3251","2.3251","","",""
"45","2.8276","2.8276","2.8276","","",""
"46","2.1636","2.1636","2.1636","","",""
"47","2.244","2.244","2.244","","",""
"48","2.7501","2.7501","2.7501","","",""
"49","2.652","2.652","2.652","","",""
"50","2.5052","2.5052","2.5052","","",""
"51","2.8245","2.8245","2.8245","","",""
"52","3.0245","3.0245","3.0245","","",""
"53","2.3428","2.3428","2.3428","","",""
"54","2.0176","2.0176","2.0176","","",""
"55","1.8057","1.8057","1.8057","","",""
"56","2.352","2.352","2.352","","",""
"57","3.0057","3.0057","3.0057","","",""
"58","3.1828","3.1828","3.1828","","",""
"59","2.4547","2.4547","2.4547","","",""
"60","2.7922","2.7922","2.7922","","",""
"61","3.2664","3.2664","3.2664","","",""
"62","2.6823","2.6823","2.6823","","",""
"63","2.9891","2.9891","2.9891","","",""
"64","3.1914","3.1914","3.1914","","",""
"65","2.532","2.532","2.532","","",""
"66","2.616","2.616","2.616","","",""
"67","2.2473","2.2473","2.2473","","",""
"68","2.6021","2.6021","2.6021","","",""
"69","2.6771","2.6771","2.6771","","",""
"70","2.6774","2.6774","2.6774","","",""
"71","2.9545","2.9545","2.9545","","",""
"72","1.9855","1.9855","1.9855","","",""
"73","2.5944","2.5944","2.5944","","",""
"74","2.2059","2.2059","2.2059","","",""
"75","2.4805","2.4805","2.4805","","",""
"76","2.3086","2.3086","2.3086","","",""
"77","2.4919","2.4919","2.4919","","",""
"78","2.0979","2.0979","2.0979","","",""
"79","2.6113","2.6113","2.6113","","",""
"80","2.7331","2.7331","2.7331","","",""
"81","3.3034","3.3034","3.3034","","",""
"82","2.2901","2.2901","2.2901","","",""
"83","2.6466","2.6466","2.6466","","",""
"84","2.6543","2.6543","2.6543","","",""
"85","2.868","2.868","2.868","","",""
"86","1.9771","1.9771","1.9771","","",""
"87","1.765","1.765","1.765","","",""
"88","1.7368","1.7368","1.7368","","",""
"89","2.1444","2.1444","2.1444","","",""
"90","1.7897","1.7897","1.7897","","",""
"91","2.3542","2.3542","2.3542","","",""
"92","1.7796","1.7796","1.7796","","",""
"93","2.157","2.157","2.157","","",""
"94","1.9202","1.9202","1.9202","","",""
"95","1.9117","1.9117","1.9117","","",""
"96","2.7291","2.7291","2.7291","","",""
"97","1.56","1.56","1.56","","",""
"98","2.1748","2.1748","2.1748","","",""
"99","2.8021","2.8021","2.8021","","",""
"100","1.7031","1.7031","1.7031","","",""
"101","2.445","2.445","2.445","","",""
"102","1.8544","1.8544","1.8544","","",""
"103","2.1442","2.1442","2.1442","","",""
"104","1.4267","1.4267","1.4267","","",""
"105","1.7647","1.7647","1.7647","","",""
"106","2.6067","2.6067","2.6067","","",""
"107","2.1332","2.1332","2.1332","","",""
"108","2.66","2.66","2.66","","",""
"109","1.9702","1.9702","1.9702","","",""
"110","1.4313","1.4313","1.4313","","",""
"111","2.1046","2.1046","2.1046","","",""
"112","1.6779","1.6779","1.6779","","",""
"113","2.7795","2.7795","2.7795","","",""
"114","1.8466","1.8466","1.8466","","",""
"115","2.3186","2.3186","2.3186","","",""
"116","1.5154","1.5154","1.5154","","",""
"117","2.4991","2.4991","2.4991","","",""
"118","0.9005","0.9005","0.9005","","",""
"119","2.0828","2.0828","2.0828","","",""
"120","1.5375","1.5375","1.5375","","",""
"121","1.5554","1.5554","1.5554","","",""
"122","1.5249","1.5249","1.5249","","",""
"123","2.4508","2.4508","2.4508","","",""
"124","2.3886","2.3886","2.3886","","",""
"125","2.1276","2.1276","2.1276","","",""
"126","2.1296","2.1296","2.1296","","",""
"127","2.1266","2.1266","2.1266","","",""
"128","2.3896","2.3896","2.3896","","",""
"129","1.5041","1.5041","1.5041","","",""
"130","2.3144","2.3144","2.3144","","",""
"131","1.8525","1.8525","1.8525","","",""
"132","2.2702","2.2702","2.2702","","",""
"133","2.9193","2.9193","2.9193","","",""
"134","2.6248","2.6248","2.6248","","",""
"135","2.1792","2.1792","2.1792","","",""
"136","2.6321","2.6321","2.6321","","",""
"137","1.9159","1.9159","1.9159","","",""
"138","1.9979","1.9979","1.9979","","",""
"139","1.8594","1.8594","1.8594","","",""
"140","2.2882","2.2882","2.2882","","",""
"141","1.6481","1.6481","1.6481","","",""
"142","2.0501","2.0501","2.0501","","",""
"143","1.9558","1.9558","1.9558","","",""
"144","1.7234","1.7234","1.7234","","",""
"145","2.6779","2.6779","2.6779","","",""
"146","2.5384","2.5384","2.5384","","",""
"147","1.5601","1.5601","1.5601","","",""
"148","1.3578","1.3578","1.3578","","",""
"149","2.1431","2.1431","2.1431","","",""
"150","1.679","1.679","1.679","","",""
"151","2.3864","2.3864","2.3864","","",""
"152","1.6479","1.6479","1.6479","","",""
"153","0.8554","0.8554","0.8554","","",""
"154","2.824","2.824","2.824","","",""
"155","0.9658","0.9658","0.9658","","",""
"156","2.755","2.755","2.755","","",""
"157","1.3125","1.3125","1.3125","","",""
"158","2.5364","2.5364","2.5364","","",""
"159","1.7522","1.7522","1.7522","","",""
"160","2.352","2.352","2.352","","",""
"161","1.8289","1.8289","1.8289","","",""
"162","2.1156","2.1156","2.1156","","",""
"163","1.3378","1.3378","1.3378","","",""
"164","1.2383","1.2383","1.2383","","",""
"165","2.976","2.976","2.976","","",""
"166","1.1505","1.1505","1.1505","","",""
"167","2.3505","2.3505","2.3505","","",""
"168","2.1496","2.1496","2.1496","","",""
"169","3.3483","3.3483","3.3483","","",""
"170","2.3414","2.3414","2.3414","","",""
